url,name,address,price,building_num,apartment_num,year,building_type,property_fee,property_com,developer,wgs_lon,wgs_lat
https://hf.lianjia.com/xiaoqu/5111063230520/,美菱集团公司,(包河包公)芜湖路43号,21333,7栋,236户,1986年建成 ,板楼,暂无信息,安徽伟星物业管理有限公司,合肥市政建设集团有限责任公司,117.29506198787891,31.858878437664742
https://hf.lianjia.com/xiaoqu/5111062407549/,合钢干休所宿舍,(包河包公)合钢干休所宿舍,19643,6栋,49户,1990年建成 ,塔板结合,0.1元/平米/月,无物业管理服务,暂无信息,117.28590453545277,31.85507278907661
https://hf.lianjia.com/xiaoqu/5111063274263/,省地矿局,(包河包公)宁国路省地矿局,30981,12栋,436户,1988年建成 ,板楼/塔板结合,0.51至0.6元/平米/月,自持物业,合肥市政建设集团有限责任公司,117.28470722917413,31.8510804698746
https://hf.lianjia.com/xiaoqu/5111063274538/,省地震局宿舍,(包河包公)巢湖路287号,27237,15栋,380户,1987年建成 ,塔板结合,0.8至1.44元/平米/月,暂无信息,无,117.29548740538773,31.862369073032397
https://hf.lianjia.com/xiaoqu/5111063203206/,金龙苑,(包河芜湖路)黄山路19号,16786,1栋,216户,2000年建成 ,板楼,0.5元/平米/月,暂无信息,开元旅游集团,117.27252797248056,31.843220866401882
https://hf.lianjia.com/xiaoqu/5111063398610/,天下锦城爱丁堡,(包河常青)天下锦城爱丁堡,25114,10栋,532户,2014年建成 ,板楼/塔板结合,1.2至1.44元/平米/月,龙湖物业服务有限公司,安徽皖投置业有限责任公司,117.25085846308336,31.811500328173537
https://hf.lianjia.com/xiaoqu/5111063323677/,曙光路51号,(包河芜湖路)曙光路51号,15846,1栋,48户,1992年建成 ,板楼,暂无信息,合肥骏腾物业管理有限公司, 大理耀鹏房地产开发有限责任公司,117.2705728026497,31.845507451397356
https://hf.lianjia.com/xiaoqu/5111063185929/,369晶品城市公寓,(包河芜湖路)桐城路369,13158,3栋,626户,1998年建成 ,板楼/塔板结合/平房,1.44元/平米/月,合肥华兴物业管理有限公司,安徽晋兆置业有限公司,117.27491346587017,31.83974530281461
https://hf.lianjia.com/xiaoqu/5111063274974/,省检察院职工楼,(包河包公)屯溪路136号,22492,2栋,72户,1990年建成 ,塔板结合,0.51元/平米/月,安徽省文一物业管理有限公司,合肥市政建设集团有限责任公司,117.29926088274765,31.850992936925632
https://hf.lianjia.com/xiaoqu/5111062927261/,电气学院生活区,(包河望湖)包河大道397号,18577,9栋,232户,1982年建成 ,板楼,0.5至1.2元/平米/月,安徽长红物业管理有限公司,长铁总公司,117.29666336314159,31.814975130587523
https://hf.lianjia.com/xiaoqu/5111063399238/,姚公新苑,(包河常青)姚公新苑,15511,12栋,570户,1995年建成 ,塔板结合,1.44元/平米/月,邵阳物业,合肥市市政房地产开发有限公司,117.24972746508651,31.809095796997397
https://hf.lianjia.com/xiaoqu/5111063388286/,安凯南区,(包河工业园)安凯路,10007,10栋,434户,1998年建成 ,塔板结合,0.5元/平米/月,自主物业,暂无信息,117.35751243524001,31.80082494561538
https://hf.lianjia.com/xiaoqu/5111063201473/,合肥工业经济职业技术学院,(包河芜湖路)梁园路1号,16323,3栋,80户,1980年建成 ,板楼,暂无信息,无物业, 重庆汇东房地产开发有限公司,117.27664978144328,31.843355417211434
https://hf.lianjia.com/xiaoqu/5111063326897/,曙光苑小区,(包河芜湖路)曙光苑小区,22182,2栋,108户,2009年建成 ,塔楼/塔板结合,暂无信息,没有物业,武汉曙光集团有限责任公司,117.26908647684606,31.846754896991307
https://hf.lianjia.com/xiaoqu/5111062414007/,商务厅职工宿舍,(包河包公)商务厅职工宿舍,28735,21栋,713户,1981年建成 ,塔楼/板楼,0.51元/平米/月,小区物业,合肥市政建设集团有限责任公司,117.28740753374555,31.855403156279156
https://hf.lianjia.com/xiaoqu/5111062986480/,凤巢园,(包河周谷堆)凤巢园,13246,38栋,999户,1996年建成 ,板楼/塔板结合,0.6元/平米/月,自主物业,合肥市政建设集团有限责任公司,117.29960819854234,31.84765723858243
https://hf.lianjia.com/xiaoqu/5111062942643/,梅兰家园,(包河常青)梅兰家园,14093,3栋,130户,1998年建成 ,塔板结合/平房,1.44元/平米/月,无物业管理服务,中山市裕强房地产发展有限公司,117.27828963702426,31.804905171810738
https://hf.lianjia.com/xiaoqu/5111062983576/,科苑新村,(包河芜湖路)宿松路77号,13823,12栋,539户,1995年建成 ,板楼/塔板结合,0.52元/平米/月,安徽省信联物业管理公司,开元国投,117.26725857104965,31.835092886426725
https://hf.lianjia.com/xiaoqu/5111062942732/,南凌小区A区,(包河望湖)东流路27号,17368,5栋,276户,1998年建成 ,板楼/塔板结合,0.1元/平米/月,安徽圣洁物业有限公司,无,117.28330865187058,31.815034782705023
https://hf.lianjia.com/xiaoqu/5111062977289/,包河苑F区,(包河工业园)包河工业园,11490,10栋,576户,2000年建成 ,板楼/塔板结合,暂无信息,包河物业管理有限公司,安徽省安建置业有限公司,117.31893475602115,31.799413333566577
https://hf.lianjia.com/xiaoqu/5111062944753/,望湖水苑,(包河望湖)祁门路118号,20529,2栋,68户,2004年建成 ,板楼,5元/平米/月,暂无信息,上海诣望置业有限公司,117.29519616238784,31.814549025771612
https://hf.lianjia.com/xiaoqu/5111062990638/,信达文景雅居,(包河周谷堆)信达 文景雅居,16447,14栋,571户,2004年建成 ,塔板结合,1.21元/平米/月,暂无信息,安徽新禧房地产开发有限公司,117.29889494612043,31.84124833645207
https://hf.lianjia.com/xiaoqu/5111062976713/,包河苑E区,(包河工业园)繁华大道,12810,10栋,468户,2004年建成 ,板楼,0.5元/平米/月,包河物业管理有限公司,深圳市龙城有限公司,117.3089914752318,31.798134332654975
https://hf.lianjia.com/xiaoqu/5111062944437/,望湖东苑,(包河望湖)望湖东苑,19375,16栋,600户,2005年建成 ,塔楼/板楼,0.5至0.52元/平米/月,合肥南凌物业服务有限公司,安徽皖投置业有限责任公司,117.29175514024828,31.813853802518274
https://hf.lianjia.com/xiaoqu/5111063084711/,包河花园园林小区,(包河工业园)包河花园,11380,8栋,360户,2000年建成 ,塔板结合,1元/平米/月,安徽青和物业服务有限公司,合肥市政建设集团有限责任公司,117.32752298470395,31.800181122729143
https://hf.lianjia.com/xiaoqu/5111063074739/,云辉阁,(包河淝河镇)云辉阁,16914,4栋,154户,2010年建成 ,塔板结合,1.44元/平米/月,合肥云坤物业管理有限公司,合肥市政建设集团有限责任公司,117.30329180922166,31.80645887421562
https://hf.lianjia.com/xiaoqu/5111062978243/,包河苑广电小区,(包河工业园)包河苑广电小区,14036,4栋,180户,2004年建成 ,塔板结合,1元/平米/月,合肥艾尔物业管理有限公司, 大理耀鹏房地产开发有限责任公司,117.31151372648291,31.796789668069525
https://hf.lianjia.com/xiaoqu/5111062765645/,菱水苑南区,(包河望湖)菱水苑南区,15423,13栋,396户,1998年建成 ,塔板结合,0.5至0.51元/平米/月,合肥天成物业管理有限公司, 合肥万科瑞翔地产有限公司,117.28101586690522,31.820249333300993
https://hf.lianjia.com/xiaoqu/5111062742743/,警民小区,(包河包公)太湖东路9号,14163,8栋,192户,1998年建成 ,塔楼/板楼,0.4元/平米/月,无物业, 合肥万科瑞翔地产有限公司,117.28927923845492,31.834706816705957
https://hf.lianjia.com/xiaoqu/5111062718366/,力高柏林春天,(包河包公)马鞍山路与东流路交汇处,16123,20栋,1257户,2004年建成 ,塔板结合,0.8至1.45元/平米/月,武汉天源物业合肥分公司,合肥市富泰房地产开发有限公司,117.2941070851044,31.82859253399229
https://hf.lianjia.com/xiaoqu/5111062752265/,青年小区花园村,(包河包公)青年小区花园村,16061,4栋,192户,2000年建成 ,板楼,0.8元/平米/月,合肥青年物业管理有限责任公司,合肥国华房地产开发公司,117.28586117717576,31.83484179839267
https://hf.lianjia.com/xiaoqu/5111062756494/,物化探院小区,(包河包公)物化探院小区,17833,14栋,496户,1985年建成 ,板楼/平房,0.5至1.3元/平米/月,绿城物业服务集团有限公司安徽分公司,市政开发公司,117.28277657812967,31.84060221985352
